Date,EPS
Q4 2019,$0.95 
Q3 2019,$0.85 
Q2 2019,$0.94 
Q1 2019,$0.74 
Q4 2018,$0.57 
Q3 2018,$0.65 
Q2 2018,$0.59 
Q1 2018,$1.62 
Q4 2017,$0.74 
Q3 2017,$0.69 
Q2 2017,$0.69 
Q1 2017,$0.61 
Q4 2016,$0.80 
Q3 2016,$0.67 
Q2 2016,$0.62 
Q1 2016,$0.59 
Q4 2015,$0.87 
Q3 2015,$0.69 
Q2 2015,$0.30 
Q1 2015,$0.56 
Q4 2014,$0.56 
Q3 2014,$0.55 
Q2 2014,$0.65 
Q1 2014,$0.64 
Q4 2013,$0.84 
Q3 2013,$0.70 
Q2 2013,$0.55 
Q1 2013,$0.60 
Q4 2012,$0.82 
Q3 2012,$0.82 
Q2 2012,$0.49 
Q1 2012,$0.58 
Q4 2011,$0.67 
Q3 2011,$0.61 
Q2 2011,$0.49 
Q1 2011,$0.59 
Q4 2010,$0.92 
Q3 2010,$0.70 
Q2 2010,$0.31 
Q1 2010,$0.48 
Q4 2009,$0.83 
Q3 2009,$0.62 
Q2 2009,$0.54 
Q1 2009,$0.43 
Q4 2008,$0.55 
Q3 2008,$0.40 
Q2 2008,$0.26 
Q1 2008,$0.62 
Q4 2007,$0.57 
Q3 2007,$0.41 
Q2 2007,$0.31 
Q1 2007,$0.37 
Q4 2006,$0.54 
Q3 2006,$0.37 
Q2 2006,$0.31 
Q1 2006,$0.34 
Q4 2005,$0.49 
Q3 2005,$0.32 
Q2 2005,$0.57 
Q1 2005,$0.29 
