Date,EPS
Q3 2019,$1.15 
Q2 2019,$1.09 
Q1 2019,$1.00 
Q4 2018,$1.10 
Q3 2018,$1.06 
Q2 2018,$1.02 
Q1 2018,$0.96 
Q4 2017,$0.96 
Q3 2017,$0.88 
Q2 2017,$0.85 
Q1 2017,$0.82 
Q4 2016,$0.81 
Q3 2016,$0.84 
Q2 2016,$0.83 
Q1 2016,$0.76 
Q4 2015,$0.79 
Q3 2015,$0.81 
Q2 2015,$0.80 
Q1 2015,$0.76 
Q4 2014,$0.79 
Q3 2014,$0.78 
Q2 2014,$0.78 
Q1 2014,$0.73 
Q4 2013,$0.75 
Q3 2013,$0.76 
Q2 2013,$0.76 
Q1 2013,$0.73 
Q4 2012,$0.72 
Q3 2012,$0.74 
Q2 2012,$0.71 
Q1 2012,$0.67 
Q4 2011,$0.70 
Q3 2011,$0.64 
Q2 2011,$0.60 
Q1 2011,$0.52 
Q4 2010,$0.49 
Q3 2010,$0.45 
Q2 2010,$0.45 
Q1 2010,$0.34 
Q4 2009,$0.31 
Q3 2009,$0.30 
Q2 2009,$0.12 
Q1 2009,$0.24 
Q4 2008,$0.14 
Q3 2008,$0.32 
Q2 2008,$0.53 
Q1 2008,$0.62 
Q4 2007,$0.52 
Q3 2007,$0.62 
Q2 2007,$0.65 
Q1 2007,$0.63 
Q4 2006,$0.66 
Q3 2006,$0.66 
Q2 2006,$0.66 
Q1 2006,$0.63 
Q4 2005,$0.63 
Q3 2005,$0.62 
Q2 2005,$0.60 
Q1 2005,$0.57 
